"ID","Longitude","Latitude","Elevation","centroid","ID","Longitude","Latitude","GEOID"
1,-97519592,35472620,0.00,,,,,
765,-97519496,35469800,0.00,,,,,
2,-97519601,35472440,0.00,,,,,
455,-97517716,35471947,0.00,,,,,
3,-97521370,35419963,0.00,,,,,
365,-97521350,35417100,0.00,,,,,
4,-97521853,35377188,0.00,,,,,
633,-97524133,35377169,0.00,,,,,
5,-97512175,35363896,0.00,,,,,
617,-97512220,35367095,0.00,,,,,
10005,-97512176,35363896,0.00,,,,,
1023,-97512200,35365710,0.00,,,,,
6,-97512390,35377708,0.00,,,,,
695,-97512410,35380577,0.00,,,,,
7,-97521459,35439027,0.00,,,,,
629,-97521409,35435137,0.00,,,,,
8,-97520031,35472631,0.00,,,,,
10455,-97517716,35471946,0.00,,,,,
9,-97496368,35482416,0.00,,,,,
774,-97499005,35482423,0.00,,,,,
10,-97489594,35489548,0.00,,,,,
125,-97489652,35485821,0.00,,,,,
11,-97516317,35471757,0.00,,,,,
115,-97516444,35468856,0.00,,,,,
12,-97461201,35485859,0.00,,,,,
729,-97462284,35485858,0.00,,,,,
13,-97520231,35472341,0.00,,,,,
181,-97522957,35472074,0.00,,,,,
14,-97629732,35551100,0.00,,,,,
828,-97628122,35551290,0.00,,,,,
15,-97494374,35507208,0.00,,,,,
1069,-97494376,35502285,0.00,,,,,
16,-97600681,35536830,0.00,,,,,
831,-97596095,35536820,0.00,,,,,
17,-97574133,35536672,0.00,,,,,
189,-97569759,35536597,0.00,,,,,
18,-97547690,35492923,0.00,,,,,
171,-97547722,35488936,0.00,,,,,
19,-97547680,35494670,0.00,,,,,
817,-97547677,35498561,0.00,,,,,
20,-97547527,35525849,0.00,,,,,
190,-97547325,35529675,0.00,,,,,
21,-97575080,35536685,0.00,,,,,
1115,-97576839,35536707,0.00,,,,,
22,-97601450,35536830,0.00,,,,,
825,-97606297,35536820,0.00,,,,,
23,-97598065,35606150,0.00,,,,,
391,-97597850,35607894,0.00,,,,,
24,-97549531,35607577,0.00,,,,,
1090,-97549410,35605482,0.00,,,,,
25,-97531446,35579525,0.00,,,,,
404,-97531360,35576533,0.00,,,,,
26,-97534392,35500408,0.00,,,,,
1096,-97534175,35496122,0.00,,,,,
27,-97519788,35472372,0.00,,,,,
10027,-97519780,35472370,0.00,,,,,
1290,-97519272,35475581,0.00,,,,,
28,-97547780,35485697,0.00,,,,,
178,-97547810,35481702,0.00,,,,,
29,-97548015,35478700,0.00,,,,,
981,-97546770,35478720,0.00,,,,,
30,-97520038,35472489,0.00,,,,,
10765,-97519495,35469800,0.00,,,,,
31,-97547118,35479062,0.00,,,,,
806,-97547649,35481952,0.00,,,,,
32,-97547700,35486652,0.00,,,,,
1100,-97547718,35489341,0.00,,,,,
33,-97552806,35493310,0.00,,,,,
432,-97556803,35493192,0.00,,,,,
34,-97565664,35508101,0.00,,,,,
807,-97565582,35511822,0.00,,,,,
35,-97600746,35464144,0.00,,,,,
442,-97596446,35464121,0.00,,,,,
36,-97566082,35464190,0.00,,,,,
1343,-97565487,35469976,0.00,,,,,
37,-97566478,35464332,0.00,,,,,
1309,-97570485,35464506,0.00,,,,,
38,-97600437,35464407,0.00,,,,,
846,-97601715,35464409,0.00,,,,,
39,-97618992,35464038,0.00,,,,,
440,-97621771,35461364,0.00,,,,,
40,-97583380,35507677,0.00,,,,,
216,-97583370,35499539,0.00,,,,,
41,-97583144,35486020,0.00,,,,,
210,-97578619,35485990,0.00,,,,,
42,-97547567,35485960,0.00,,,,,
220,-97543098,35485970,0.00,,,,,
43,-97547890,35485960,0.00,,,,,
207,-97551335,35485948,0.00,,,,,
44,-97583354,35486181,0.00,,,,,
211,-97583351,35488210,0.00,,,,,
45,-97583456,35507820,0.00,,,,,
853,-97586948,35507810,0.00,,,,,
46,-97570963,35447994,0.00,,,,,
483,-97570518,35445421,0.00,,,,,
47,-97520231,35472521,0.00,,,,,
48,-97530257,35435250,0.00,,,,,
466,-97534935,35435231,0.00,,,,,
49,-97554610,35452429,0.00,,,,,
497,-97554610,35449436,0.00,,,,,
50,-97530110,35464583,0.00,,,,,
448,-97528418,35467860,0.00,,,,,
51,-97571138,35448086,0.00,,,,,
471,-97575505,35447500,0.00,,,,,
52,-97568781,35387440,0.00,,,,,
486,-97565572,35389835,0.00,,,,,
53,-97565158,35435126,0.00,,,,,
239,-97561133,35435131,0.00,,,,,
54,-97519770,35472631,0.00,,,,,
55,-97565549,35420188,0.00,,,,,
499,-97565540,35416738,0.00,,,,,
56,-97530095,35391967,0.00,,,,,
517,-97530110,35395498,0.00,,,,,
57,-97530210,35421399,0.00,,,,,
522,-97530220,35424875,0.00,,,,,
59,-97530217,35420675,0.00,,,,,
879,-97530200,35417754,0.00,,,,,
60,-97530711,35391750,0.00,,,,,
882,-97535504,35391700,0.00,,,,,
61,-97441300,35406490,0.00,,,,,
901,-97441297,35409490,0.00,,,,,
62,-97459553,35420807,0.00,,,,,
533,-97464706,35420820,0.00,,,,,
63,-97494942,35420830,0.00,,,,,
1199,-97499541,35420800,0.00,,,,,
64,-97495089,35449860,0.00,,,,,
906,-97499244,35449840,0.00,,,,,
65,-97519855,35472717,0.00,,,,,
1177,-97521251,35469336,0.00,,,,,
66,-97494646,35449039,0.00,,,,,
251,-97494699,35444786,0.00,,,,,
67,-97494453,35420830,0.00,,,,,
895,-97490065,35420758,0.00,,,,,
68,-97459175,35420576,0.00,,,,,
897,-97459186,35415155,0.00,,,,,
69,-97372120,35464050,0.00,,,,,
564,-97374187,35464059,0.00,,,,,
70,-97389102,35464056,0.00,,,,,
567,-97393474,35464070,0.00,,,,,
71,-97520213,35472680,0.00,,,,,
72,-97413394,35442309,0.00,,,,,
1284,-97410399,35441759,0.00,,,,,
73,-97405503,35449710,0.00,,,,,
556,-97401977,35449680,0.00,,,,,
74,-97547850,35377310,0.00,,,,,
272,-97547830,35379297,0.00,,,,,
75,-97547865,35391959,0.00,,,,,
917,-97547860,35392547,0.00,,,,,
76,-97547930,35421709,0.00,,,,,
925,-97547930,35424229,0.00,,,,,
77,-97544781,35454101,0.00,,,,,
543,-97539437,35456767,0.00,,,,,
78,-97514740,35565441,0.00,,,,,
293,-97514221,35557800,0.00,,,,,
79,-97503139,35522128,0.00,,,,,
296,-97503310,35518425,0.00,,,,,
80,-97504547,35495020,0.00,,,,,
1014,-97502134,35495020,0.00,,,,,
81,-97519718,35472868,0.00,,,,,
82,-97503034,35521420,0.00,,,,,
658,-97494210,35536260,0.00,,,,,
83,-97503334,35482557,0.00,,,,,
284,-97502626,35490141,0.00,,,,,
10083,-97503344,35482557,0.00,,,,,
1206,-97503033,35486601,0.00,,,,,
84,-97476304,35493124,0.00,,,,,
143,-97472691,35493128,0.00,,,,,
85,-97397893,35493465,0.00,,,,,
761,-97388612,35492814,0.00,,,,,
933,-97406813,35493187,0.00,,,,,
86,-97305192,35507648,0.00,,,,,
87,-97300641,35511310,0.00,,,,,
10087,-97300650,35511310,0.00,,,,,
649,-97303027,35511281,0.00,,,,,
88,-97476571,35493129,0.00,,,,,
1057,-97481420,35493136,0.00,,,,,
89,-97307059,35507640,0.00,,,,,
651,-97309438,35507629,0.00,,,,,
90,-97507887,35420909,0.00,,,,,
582,-97507878,35424492,0.00,,,,,
91,-97519631,35472161,0.00,,,,,
20765,-97519498,35469800,0.00,,,,,
92,-97476715,35492889,0.00,,,,,
124,-97476730,35491247,0.00,,,,,
93,-97476730,35478087,0.00,,,,,
953,-97476730,35475898,0.00,,,,,
94,-97476720,35478705,0.00,,,,,
1222,-97476720,35482554,0.00,,,,,
95,-97476710,35493259,0.00,,,,,
142,-97476701,35495043,0.00,,,,,
96,-97406269,35463621,0.00,,,,,
966,-97406204,35460295,0.00,,,,,
97,-97547847,35390851,0.00,,,,,
273,-97547851,35387185,0.00,,,,,
98,-97411879,35442494,0.00,,,,,
574,-97413634,35442510,0.00,,,,,
99,-97531698,35580130,0.00,,,,,
164,-97534392,35580090,0.00,,,,,
100,-97489469,35489850,0.00,,,,,
705,-97488168,35493162,0.00,,,,,
101,-97494178,35507726,0.00,,,,,
150,-97491475,35507713,0.00,,,,,
102,-97548241,35435014,0.00,,,,,
913,-97547921,35432483,0.00,,,,,
103,-97547943,35420504,0.00,,,,,
550,-97547930,35416679,0.00,,,,,
104,-97544966,35453877,0.00,,,,,
909,-97543880,35451551,0.00,,,,,
105,-97521173,35458070,0.00,,,,,
1026,-97521128,35460277,0.00,,,,,
106,-97601011,35493296,0.00,,,,,
1299,-97599155,35493300,0.00,,,,,
107,-97495434,35482292,0.00,,,,,
137,-97493054,35482463,0.00,,,,,
10107,-97495435,35482283,0.00,,,,,
1018,-97494548,35478239,0.00,,,,,
20107,-97495434,35482289,0.00,,,,,
1239,-97494511,35482497,0.00,,,,,
108,-97529602,35493260,0.00,,,,,
1294,-97528542,35493262,0.00,,,,,
109,-97565790,35493152,0.00,,,,,
986,-97572483,35493191,0.00,,,,,
110,-97601292,35493302,0.00,,,,,
343,-97604500,35493309,0.00,,,,,
111,-97619184,35478800,0.00,,,,,
762,-97622409,35478811,0.00,,,,,
112,-97481580,35231600,0.00,,,,,
1153,-97516386,35467765,0.00,,,,,
1375,-97474040,35218370,0.00,,,,,
113,-97505737,35489693,0.00,,,,,
1308,-97519390,35472441,0.00,,,,,
114,-97583755,35522284,0.00,,,,,
450,-97583420,35518478,0.00,,,,,
503,-97516426,35466310,0.00,,,,,
116,-97502674,35482357,0.00,,,,,
10116,-97502674,35482354,0.00,,,,,
130,-97498747,35482316,0.00,,,,,
117,-97600908,35478780,0.00,,,,,
600,-97597595,35478770,0.00,,,,,
118,-97529861,35478750,0.00,,,,,
606,-97526779,35478761,0.00,,,,,
119,-97519912,35472312,0.00,,,,,
120,-97530184,35478750,0.00,,,,,
609,-97533397,35478899,0.00,,,,,
121,-97601219,35478780,0.00,,,,,
354,-97605666,35478780,0.00,,,,,
122,-97517856,35472197,0.00,,,,,
10081,-97519710,35472868,0.00,,,,,
123,-97521372,35467867,0.00,,,,,
197,-97527460,35467853,0.00,,,,,
593,-97476730,35486032,0.00,,,,,
126,-97489098,35482065,0.00,,,,,
127,-97488020,35483054,0.00,,,,,
128,-97489833,35483185,0.00,,,,,
129,-97491606,35483197,0.00,,,,,
131,-97509071,35482369,0.00,,,,,
132,-97511332,35482368,0.00,,,,,
10132,-97511331,35482368,0.00,,,,,
133,-97514126,35477969,0.00,,,,,
148,-97514178,35482372,0.00,,,,,
775,-97514221,35474983,0.00,,,,,
134,-97513970,35481337,0.00,,,,,
136,-97511289,35482368,0.00,,,,,
135,-97514612,35482375,0.00,,,,,
10136,-97511287,35482368,0.00,,,,,
773,-97505573,35482389,0.00,,,,,
138,-97491172,35483073,0.00,,,,,
139,-97487788,35482872,0.00,,,,,
140,-97489209,35482066,0.00,,,,,
776,-97489517,35483409,0.00,,,,,
141,-97476699,35496839,0.00,,,,,
945,-97476690,35500591,0.00,,,,,
1051,-97468054,35493139,0.00,,,,,
144,-97450220,35493190,0.00,,,,,
