GEOID,geometry
40027202007,"c(-97.450275, 35.363035)"
40109107217,"c(-97.543504, 35.413473)"
40109103602,"c(-97.527186, 35.459968)"
40027202002,"c(-97.499034, 35.3703)"
40027201508,"c(-97.496378, 35.203407)"
40017301008,"c(-97.68915, 35.435753)"
40109108221,"c(-97.540626, 35.682106)"
40109107704,"c(-97.414925, 35.453015)"
40109107705,"c(-97.415039, 35.459352)"
40027202201,"c(-97.452994, 35.305293)"
40109105907,"c(-97.592224, 35.478879)"
40109108303,"c(-97.480519, 35.616306)"
40109101000,"c(-97.538787, 35.496888)"
40109105000,"c(-97.525781, 35.427999)"
40109106902,"c(-97.627833, 35.49696)"
40109102200,"c(-97.574511, 35.482323)"
40017301007,"c(-97.726249, 35.457038)"
40027201602,"c(-97.508259, 35.341569)"
40027202006,"c(-97.525618, 35.370229)"
40027200300,"c(-97.450647, 35.235522)"
40109105202,"c(-97.481038, 35.514964)"
40109108206,"c(-97.472084, 35.696303)"
40027201301,"c(-97.419338, 35.193551)"
40109108523,"c(-97.665136, 35.580204)"
40017300902,"c(-97.731673, 35.498879)"
40017300500,"c(-97.962613, 35.52729)"
40109106403,"c(-97.553806, 35.558154)"
40027202004,"c(-97.485778, 35.356035)"
40109107219,"c(-97.534635, 35.413486)"
40109107221,"c(-97.539003, 35.395476)"
40109108009,"c(-97.361981, 35.471275)"
40109108706,"c(-97.335553, 35.456809)"
40109108520,"c(-97.576486, 35.601749)"
40109104800,"c(-97.501904, 35.428043)"
40109108006,"c(-97.415123, 35.471369)"
40109108527,"c(-97.629611, 35.601933)"
40027202107,"c(-97.441409, 35.334234)"
40109108220,"c(-97.496022, 35.674721)"
40083600100,"c(-97.409306, 35.884666)"
40109107218,"c(-97.53907, 35.424288)"
40109108011,"c(-97.379741, 35.493084)"
40027200601,"c(-97.414812, 35.211098)"
40109108602,"c(-97.609905, 35.435382)"
40109107001,"c(-97.58329, 35.423934)"
40109107606,"c(-97.379611, 35.440844)"
40109108203,"c(-97.488889, 35.660328)"
40109108219,"c(-97.54486, 35.660333)"
40109108402,"c(-97.571644, 35.572952)"
40109108515,"c(-97.647314, 35.56901)"
40109103000,"c(-97.500954, 35.473735)"
40051000600,"c(-97.971731, 34.978955)"
40017301100,"c(-97.733621, 35.488124)"
40017301201,"c(-97.751387, 35.500622)"
40109108314,"c(-97.544936, 35.602118)"
40109106501,"c(-97.556526, 35.529993)"
40027202203,"c(-97.472027, 35.305407)"
40109106601,"c(-97.57452, 35.51671)"
40109108512,"c(-97.620584, 35.682252)"
40109107807,"c(-97.432447, 35.425403)"
40109108802,"c(-97.273901, 35.485903)"
40109103400,"c(-97.543433, 35.469623)"
40109106602,"c(-97.592302, 35.516758)"
40109106604,"c(-97.574536, 35.527963)"
40027201610,"c(-97.573124, 35.319636)"
40109108215,"c(-97.518276, 35.652961)"
40017301406,"c(-97.697974, 35.391684)"
40017300904,"c(-97.689185, 35.496956)"
40109108524,"c(-97.665147, 35.595132)"
40109106909,"c(-97.645493, 35.48244)"
40027200200,"c(-97.435108, 35.225613)"
40109106804,"c(-97.610052, 35.51504)"
40017301410,"c(-97.724594, 35.398986)"
40109107405,"c(-97.432428, 35.395871)"
40109109100,"c(-97.514173, 35.471236)"
40109108217,"c(-97.504975, 35.645626)"
40109104600,"c(-97.525792, 35.439888)"
40109106609,"c(-97.572197, 35.542074)"
40027200602,"c(-97.432711, 35.211858)"
40027201611,"c(-97.520985, 35.327048)"
40109106912,"c(-97.654072, 35.47148)"
40109107103,"c(-97.568491, 35.414494)"
40109107211,"c(-97.552594, 35.386086)"
40109101700,"c(-97.522845, 35.487807)"
40109104000,"c(-97.519277, 35.452841)"
40109106704,"c(-97.654057, 35.522408)"
40027201902,"c(-97.538919, 35.370213)"
40027201101,"c(-97.469745, 35.183259)"
40109108707,"c(-97.335579, 35.442584)"
40109108109,"c(-97.442563, 35.623726)"
40109108110,"c(-97.442702, 35.584414)"
40027201604,"c(-97.500983, 35.327051)"
40017300905,"c(-97.715754, 35.496774)"
40109100900,"c(-97.568191, 35.495043)"
40109108704,"c(-97.274157, 35.406843)"
40109105201,"c(-97.489897, 35.514983)"
40109106913,"c(-97.622922, 35.471521)"
40109106301,"c(-97.522619, 35.558351)"
40109106803,"c(-97.627801, 35.506771)"
40027201000,"c(-97.472277, 35.211164)"
40109101200,"c(-97.516714, 35.496897)"
40109107220,"c(-97.539043, 35.402581)"
40109106906,"c(-97.605601, 35.500536)"
40109103500,"c(-97.53901, 35.462532)"
40017300400,"c(-97.964072, 35.542929)"
40109105906,"c(-97.592247, 35.489682)"
40109107207,"c(-97.516826, 35.384601)"
40109106610,"c(-97.572524, 35.531485)"
40109108521,"c(-97.639646, 35.558389)"
40027201509,"c(-97.464395, 35.262107)"
40027201903,"c(-97.573051, 35.370093)"
40109106606,"c(-97.587889, 35.529548)"
40109108208,"c(-97.47163, 35.662639)"
40109108003,"c(-97.406333, 35.493108)"
40109107404,"c(-97.432439, 35.41351)"
40017300600,"c(-97.956605, 35.515119)"
40109102600,"c(-97.507341, 35.478649)"
40027200400,"c(-97.452177, 35.225675)"
40109103800,"c(-97.501153, 35.462804)"
40109106708,"c(-97.65407, 35.536656)"
40027202206,"c(-97.499738, 35.305388)"
40109101600,"c(-97.513919, 35.485678)"
40027200500,"c(-97.448226, 35.211385)"
40109108309,"c(-97.535849, 35.575726)"
40027201102,"c(-97.458954, 35.196672)"
40027200100,"c(-97.443585, 35.220785)"
40109107804,"c(-97.432524, 35.442468)"
40109108301,"c(-97.487182, 35.565627)"
40109108701,"c(-97.335511, 35.406738)"
40109108507,"c(-97.571252, 35.558399)"
40109105800,"c(-97.556519, 35.471435)"
40027200900,"c(-97.472292, 35.225641)"
40109107605,"c(-97.393593, 35.442443)"
40109108317,"c(-97.499707, 35.626513)"
40109108204,"c(-97.489776, 35.646039)"
40109108316,"c(-97.549197, 35.631036)"
40017301409,"c(-97.733458, 35.384442)"
40109106911,"c(-97.662896, 35.486013)"
40109107604,"c(-97.400483, 35.442148)"
40109102800,"c(-97.474444, 35.480925)"
40027201405,"c(-97.388274, 35.217906)"
40109106401,"c(-97.53986, 35.543967)"
40109102700,"c(-97.49649, 35.479538)"
40027202105,"c(-97.468014, 35.32698)"
40027201505,"c(-97.498775, 35.240141)"
40109102000,"c(-97.556652, 35.489582)"
40109108530,"c(-97.647354, 35.587364)"
40027201603,"c(-97.498033, 35.341557)"
40109107215,"c(-97.56119, 35.41343)"
40109107809,"c(-97.450284, 35.438656)"
40109101400,"c(-97.490033, 35.488134)"
40027201904,"c(-97.556597, 35.370125)"
40109109001,"c(-97.194054, 35.608348)"
40027202102,"c(-97.485715, 35.341526)"
40027201700,"c(-97.623419, 35.340251)"
40027201609,"c(-97.556488, 35.334176)"
40109107601,"c(-97.414832, 35.442459)"
