GEOID,NAME,tot_popE,no_vehE,total_hhsE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,hh_u18_married_coupleE,hh_u18_singleparent_maleE,hh_u18_singleparent_femaleE,hh_65plusE,tot_disabledE,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,hh_povlevelE,total_emp,basic_emp,retail_emp,service_emp,land_area_sqmeters,geometry,pop_density,emp_density,activity_density
40027202007,"Census Tract 2020.07, Cleveland County, Oklahoma",4371,6,1540,334,509,167,530,1028,51,169,270,4293,0,80,65,25,10,41,38,139,94,163,143,389,175,51,68,59,83,613,495,16,102,9951952,"list(c(-97.476985, -97.459227, -97.441222, -97.423566, -97.423854, -97.423755, -97.424439, -97.441367, -97.441372, -97.445929, -97.44576, -97.459062, -97.459058, -97.459242, -97.459233, -97.459331, -97.476937, -97.476985, 35.377316, 35.37734, 35.377274, 35.377316, 35.363217, 35.351871, 35.348731, 35.348768, 35.352165, 35.352242, 35.355772, 35.35576, 35.363105, 35.363104, 35.370364, 35.370349, 35.370663, 35.377316))",4.3921031773465146e-4,6.159595625059285e-5,5.008062739852443e-4
40109107217,"Census Tract 1072.17, Oklahoma County, Oklahoma",2043,22,702,199,131,157,215,302,54,265,202,2043,39,73,66,40,66,90,27,5,14,125,105,45,0,7,0,0,115,291,29,26,236,1295991,"list(c(-97.547941, -97.539084, -97.539076, -97.539068, -97.539069, -97.547938, -97.547937, -97.547937, -97.547941, 35.420719, 35.420733, 35.416458, 35.412009, 35.406224, 35.406214, 35.413898, 35.41494, 35.420719))",0.001576399836109973,2.245385963328449e-4,0.0018009384324428179
40109103602,"Census Tract 1036.02, Oklahoma County, Oklahoma",581,0,8,0,8,0,0,0,0,0,4,581,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,988,395,53,540,988281,"list(c(-97.530128, -97.530088, -97.530087, -97.528817, -97.525748, -97.524399, -97.524236, -97.524247, -97.525785, -97.525799, -97.525808, -97.524436, -97.524436, -97.52762, -97.530137, -97.530128, 35.463245, 35.470457, 35.470657, 35.470145, 35.46961, 35.46955, 35.468624, 35.465403, 35.465406, 35.463241, 35.457631, 35.453819, 35.449279, 35.450196, 35.452281, 35.463245))",5.878894767783657e-4,9.997156679122639e-4,0.0015876051446906294
40027202002,"Census Tract 2020.02, Cleveland County, Oklahoma",4021,0,2019,795,794,255,175,320,8,136,551,3955,84,141,64,60,156,101,71,40,39,230,457,255,143,71,42,65,55,1138,506,148,484,6203874,"list(c(-97.521258, -97.512417, -97.512402, -97.503515, -97.50349, -97.476985, -97.476937, -97.476811, -97.494745, -97.503456, -97.512168, -97.52113, -97.521184, -97.521195, -97.521253, -97.521258, 35.377181, 35.377213, 35.377213, 35.377241, 35.377241, 35.377316, 35.370663, 35.363284, 35.363293, 35.363334, 35.363381, 35.363329, 35.368412, 35.369295, 35.374458, 35.377181))",6.481434020097765e-4,1.8343377057625606e-4,8.315771725860325e-4
40027201508,"Census Tract 2015.08, Cleveland County, Oklahoma",3238,9,1370,534,436,164,236,505,6,219,340,3113,70,8,36,97,171,55,131,64,24,124,158,117,93,79,63,80,22,1612,48,514,1050,6752251,"list(c(-97.512631, -97.511758, -97.511826, -97.50494, -97.500454, -97.500004, -97.494296, -97.494296, -97.485595, -97.485339, -97.484536, -97.480551, -97.479961, -97.480106, -97.481687, -97.483622, -97.485085, -97.489471, -97.489959, -97.503336, -97.512795, -97.512631, 35.203891, 35.207569, 35.218374, 35.218394, 35.218373, 35.218391, 35.218391, 35.218318, 35.218314, 35.215112, 35.213165, 35.206618, 35.203912, 35.201652, 35.198084, 35.195549, 35.193757, 35.18842, 35.188754, 35.19637, 35.201399, 35.203891
))",4.7954378473193603e-4,2.387352010462881e-4,7.182789857782242e-4
40017301008,"Census Tract 3010.08, Canadian County, Oklahoma",6832,0,1990,202,699,384,705,1467,168,27,510,6832,71,10,9,19,71,75,10,104,45,128,155,240,347,250,256,200,35,796,216,14,566,10308637,"list(c(-97.706913, -97.690679, -97.689249, -97.682738, -97.6797, -97.677744, -97.675744, -97.67497, -97.672576, -97.671508, -97.671411, -97.6714, -97.671388, -97.689145, -97.706852, -97.706886, -97.706913, 35.449634, 35.449614, 35.449612, 35.449838, 35.448802, 35.450907, 35.448527, 35.45075, 35.449454, 35.450282, 35.435471, 35.428319, 35.420896, 35.420599, 35.420665, 35.43517, 35.449634))",6.627452300435062e-4,7.721680373457713e-5,7.399620337780833e-4
40109108221,"Census Tract 1082.21, Oklahoma County, Oklahoma",9369,104,3096,356,997,759,984,2320,287,419,399,9351,56,59,16,85,94,46,20,174,142,226,248,420,394,202,565,349,33,542,179,61,302,15359532,"list(c(-97.567213, -97.531911, -97.524632, -97.514085, -97.514063, -97.51404, -97.514054, -97.522714, -97.531745, -97.558313, -97.567164, -97.567171, -97.567148, -97.567213, 35.696749, 35.696395, 35.696497, 35.696637, 35.689285, 35.682085, 35.667509, 35.667506, 35.667463, 35.667601, 35.667686, 35.674752, 35.682214, 35.696749))",6.099795228135857e-4,3.528753350036967e-5,6.452670563139554e-4
40109107704,"Census Tract 1077.04, Oklahoma County, Oklahoma",1602,18,581,187,184,86,124,116,61,86,170,1572,62,42,48,17,16,30,41,40,38,47,104,58,4,8,22,4,48,267,3,83,181,1064421,"list(c(-97.423794, -97.421513, -97.415008, -97.408603, -97.408615, -97.406127, -97.406056, -97.41416, -97.414836, -97.423682, -97.423794, 35.456052, 35.455543, 35.455576, 35.456429, 35.45464, 35.454628, 35.449691, 35.44964, 35.44964, 35.449602, 35.456052))",0.0015050435870769179,2.5084059784615296e-4,0.0017558841849230709
40109107705,"Census Tract 1077.05, Oklahoma County, Oklahoma",1811,14,847,343,270,127,107,158,10,124,226,1804,30,32,22,57,31,116,92,45,75,84,117,78,58,5,5,0,23,408,70,57,281,1495916,"list(c(-97.423952, -97.417773, -97.40626, -97.406201, -97.406192, -97.406127, -97.408615, -97.408603, -97.415008, -97.421513, -97.423794, -97.423802, -97.423886, -97.423952, 35.464077, 35.464067, 35.464064, 35.459499, 35.457575, 35.454628, 35.45464, 35.456429, 35.455576, 35.455543, 35.456052, 35.456895, 35.461054, 35.464077))",0.001210629473847462,2.727425871506154e-4,0.0014833720609980774
40027202201,"Census Tract 2022.01, Cleveland County, Oklahoma",4564,0,1587,236,549,280,522,812,41,184,316,4508,34,0,27,23,49,90,81,35,18,74,227,248,189,203,115,174,8,512,319,14,179,12812522,"list(c(-97.482385, -97.476745, -97.459195, -97.441306, -97.423604, -97.423607, -97.423631, -97.423656, -97.436895, -97.441325, -97.454179, -97.459129, -97.468843, -97.476726, -97.481756, -97.482385, 35.319761, 35.31975, 35.319701, 35.319715, 35.319818, 35.312395, 35.29808, 35.290769, 35.290795, 35.290807, 35.290799, 35.295656, 35.305258, 35.31388, 35.319231, 35.319761))",3.5621402250080036e-4,3.996090699395482e-5,3.961749294947552e-4
40109105907,"Census Tract 1059.07, Oklahoma County, Oklahoma",3909,79,1551,589,396,250,316,436,122,300,244,3909,83,83,124,227,96,76,100,91,95,164,232,77,62,41,0,0,157,994,664,45,285,2438976,"list(c(-97.601113, -97.59226, -97.583353, -97.583339, -97.583344, -97.583336, -97.587662, -97.592219, -97.601103, -97.601085, -97.601113, 35.486047, 35.486058, 35.48603, 35.479672, 35.478765, 35.471701, 35.47259, 35.472697, 35.472026, 35.478774, 35.486047))",0.0016027217980004724,4.075480857540214e-4,0.0020102698837544935
40109108303,"Census Tract 1083.03, Oklahoma County, Oklahoma",6543,36,2629,1032,885,388,324,723,203,291,596,6480,121,140,131,196,133,29,62,234,35,252,336,444,205,159,88,64,188,4520,231,1467,2822,4932078,"list(c(-97.500638, -97.496005, -97.494725, -97.48863, -97.486791, -97.478206, -97.473228, -97.46598, -97.460656, -97.460417, -97.460434, -97.4604, -97.464862, -97.478181, -97.482121, -97.486981, -97.497192, -97.500638, 35.609142, 35.614668, 35.616233, 35.623547, 35.623508, 35.623471, 35.623511, 35.623616, 35.623713, 35.623708, 35.616436, 35.609138, 35.609078, 35.6089, 35.60895, 35.609011, 35.609133, 35.609142))",0.0013266213551367193,9.164494154390907e-4,0.00224307077057581
