ID,Longitude,Latitude,Elevation,centroid
849094,-97438323,35703511,0,363
849093,-97443491,35482300,0,362
849092,-97654064,35500412,0,361
849091,-97450244,35399042,0,360
849090,-97624029,35516754,0,359
849089,-97538701,35524119,0,358
849088,-97436189,35860729,0,357
849087,-97300460,35592851,0,356
849086,-97706993,35527995,0,355
849085,-97552461,35438892,0,354
849084,-97503438,35487775,0,353
849083,-97445514,35203868,0,352
849082,-97560521,35601633,0,351
849081,-97569086,35400019,0,350
849080,-97407031,35869906,0,349
849079,-97738877,35468481,0,348
849078,-97359216,35021102,0,347
849077,-97525939,35246216,0,346
849076,-97514698,35427991,0,345
849075,-97610074,35486041,0,344
849074,-97549928,35572887,0,343
849073,-97627836,35529631,0,342
849072,-97574451,35446673,0,341
849071,-97519125,35460924,0,340
849070,-97938614,35073245,0,339
849069,-96980899,35847862,0,338
849068,-97474523,35630892,0,337
849067,-97501398,35413521,0,336
849066,-97459134,35341477,0,335
849065,-97439741,35478703,0,334
849064,-97442557,35645476,0,333
849063,-97480960,35792198,0,332
849062,-97610097,35543104,0,331
849061,-97478401,35470208,0,330
849060,-97438487,35674486,0,329
849059,-97218941,35036875,0,328
849058,-97522609,35580078,0,327
849057,-97397367,35458669,0,326
849056,-97487830,35594597,0,325
849055,-96731219,35579001,0,324
849054,-97538805,35356037,0,323
849053,-97404845,35582031,0,322
849052,-97614542,35500516,0,321
849051,-97335602,35522017,0,320
849050,-97565650,35436775,0,319
849049,-97397184,35269013,0,318
849048,-97538985,35384303,0,317
849047,-97365891,35661096,0,316
849046,-97520984,35305241,0,315
849045,-97563000,35572940,0,314
849044,-97471968,35655802,0,313
849043,-97592266,35497527,0,312
849042,-97513859,35615851,0,311
849041,-97427985,35225612,0,310
849040,-97311564,35087183,0,309
849039,-97629566,35572870,0,308
849038,-97573314,35413436,0,307
849037,-97583410,35541596,0,306
849036,-97965749,35616990,0,305
849035,-97274123,35449672,0,304
849034,-97752522,35357729,0,303
849033,-97556285,35518773,0,302
849032,-97558248,35587440,0,301
849031,-97523016,35479798,0,300
849030,-97600314,35116761,0,299
849029,-97511986,35536705,0,298
849028,-97386448,35203803,0,297
849027,-97185956,35442777,0,296
