from_GEOID,to_GEOID,HBO_flow,HBW_flow,NHB_flow
40027202007,40109107217,17,3,8
40027202007,40109103602,14,7,7
40027202007,40027202002,131,15,70
40027202007,40027201508,14,14,3
40027202007,40017301008,7,4,3
40027202007,40109108221,1,1,0
40027202007,40109107704,5,2,2
40027202007,40109107705,4,2,1
40027202007,40027202201,108,9,57
40027202007,40109105907,11,6,6
40027202007,40109108303,9,16,3
40027202007,40109101000,28,11,11
40027202007,40109105000,15,2,7
40027202007,40109106902,5,1,2
40027202007,40109102200,16,6,6
40027202007,40017301007,6,4,2
40027202007,40027201602,61,3,30
40027202007,40027202006,79,9,36
40027202007,40027200300,20,15,6
40027202007,40109105202,6,3,3
40027202007,40109108206,1,2,0
40027202007,40027201301,22,12,7
40027202007,40109108523,2,2,1
40027202007,40017300902,1,2,0
40027202007,40017300500,0,2,0
40027202007,40109106403,7,5,3
40027202007,40027202004,268,16,145
40027202007,40109107219,43,6,19
40027202007,40109107221,111,19,44
40027202007,40109108009,2,1,1
40027202007,40109108706,1,1,1
40027202007,40109108520,1,3,0
40027202007,40109104800,29,5,15
40027202007,40109108006,5,2,2
40027202007,40109108527,3,4,1
40027202007,40027202107,305,5,195
40027202007,40109108220,3,13,1
40027202007,40083600100,0,0,0
40027202007,40109107218,21,2,9
40027202007,40109108011,2,1,1
40027202007,40027200601,21,7,6
40027202007,40109108602,20,29,13
40027202007,40109107001,25,7,13
40027202007,40109107606,5,5,2
40027202007,40109108203,1,1,0
40027202007,40109108219,1,2,0
40027202007,40109108402,1,1,0
40027202007,40109108515,4,5,1
40027202007,40109103000,18,8,7
40027202007,40051000600,0,0,0
40027202007,40017301100,3,4,1
40027202007,40017301201,3,8,1
40027202007,40109108314,5,10,1
40027202007,40109106501,18,11,7
40027202007,40027202203,318,29,173
40027202007,40109106601,8,4,3
40027202007,40109108512,1,4,0
40027202007,40109107807,11,2,5
40027202007,40109108802,1,4,0
40027202007,40109103400,9,8,6
40027202007,40109106602,8,6,3
40027202007,40109106604,71,74,23
40027202007,40027201610,46,9,19
40027202007,40109108215,1,2,0
40027202007,40017301406,8,7,3
40027202007,40017300904,2,1,1
40027202007,40109108524,1,0,0
40027202007,40109106909,3,1,1
40027202007,40027200200,43,40,11
40027202007,40109106804,17,18,5
40027202007,40017301410,4,6,1
40027202007,40109107405,170,23,92
40027202007,40109109100,157,64,66
40027202007,40109108217,1,2,0
40027202007,40109104600,9,1,4
40027202007,40109106609,4,4,1
40027202007,40027200602,13,7,4
40027202007,40027201611,34,2,18
40027202007,40109106912,17,13,8
40027202007,40109107103,8,1,4
40027202007,40109107211,17,1,8
40027202007,40109101700,44,19,17
40027202007,40109104000,3,1,2
40027202007,40109106704,2,2,1
40027202007,40027201902,142,25,59
40027202007,40027201101,15,22,4
40027202007,40109108707,3,2,1
40027202007,40109108109,1,2,0
40027202007,40109108110,6,7,2
40027202007,40027201604,498,41,212
40027202007,40017300905,2,2,1
40027202007,40109100900,5,1,2
40027202007,40109108704,1,3,0
40027202007,40109105201,4,0,2
40027202007,40109106913,40,34,22
40027202007,40109106301,5,4,2
40027202007,40109106803,11,9,4
40027202007,40027201000,22,27,6
40027202007,40109101200,11,3,4
40027202007,40109107220,53,7,23
40027202007,40109106906,8,4,3
40027202007,40109103500,10,7,7
40027202007,40017300400,0,1,0
40027202007,40109105906,6,1,3
40027202007,40109107207,279,38,114
40027202007,40109106610,12,9,4
40027202007,40109108521,18,22,6
40027202007,40027201509,161,83,55
40027202007,40027201903,77,11,31
40027202007,40109106606,3,2,1
40027202007,40109108208,3,9,1
40027202007,40109108003,2,2,1
40027202007,40109107404,21,3,10
40027202007,40017300600,0,1,0
40027202007,40109102600,22,8,9
40027202007,40027200400,34,35,9
40027202007,40109103800,108,40,45
40027202007,40109106708,1,2,1
40027202007,40027202206,245,25,97
40027202007,40109101600,24,9,11
40027202007,40027200500,23,18,6
40027202007,40109108309,1,0,0
40027202007,40027201102,5,2,1
40027202007,40027200100,28,41,8
40027202007,40109107804,38,12,14
40027202007,40109108301,13,15,5
40027202007,40109108701,3,1,1
40027202007,40109108507,3,2,1
40027202007,40109105800,19,13,11
40027202007,40027200900,44,39,11
40027202007,40109107605,9,3,3
40027202007,40109108317,5,15,2
40027202007,40109108204,1,4,0
40027202007,40109108316,1,2,0
40027202007,40017301409,3,9,1
40027202007,40109106911,2,1,1
40027202007,40109107604,53,29,18
40027202007,40109102800,14,3,6
40027202007,40027201405,13,4,4
40027202007,40109106401,7,4,3
40027202007,40109102700,165,76,62
40027202007,40027202105,855,63,377
40027202007,40027201505,20,11,6
40027202007,40109102000,12,3,5
40027202007,40109108530,2,2,1
40027202007,40027201603,236,18,110
40027202007,40109107215,20,4,9
40027202007,40109107809,25,4,10
40027202007,40109101400,5,1,2
40027202007,40027201904,83,12,36
40027202007,40109109001,0,0,0
40027202007,40027202102,283,31,147
40027202007,40027201700,14,24,9
40027202007,40027201609,41,5,18
40027202007,40109107601,56,25,20
40027202007,40109107222,50,7,22
40027202007,40109108603,10,15,7
40027202007,40109104100,16,3,8
40027202007,40027201201,3,1,1
40027202007,40109107216,29,4,13
40027202007,40017300300,0,1,0
40027202007,40109107210,12,2,5
40027202007,40109100700,4,1,2
40027202007,40109106801,3,4,1
40027202007,40109105500,13,2,6
40027202007,40109109202,0,0,0
40027202007,40109108315,4,11,1
40027202007,40109105904,15,6,6
40027202007,40109106100,39,29,15
40027202007,40109107214,37,6,16
40027202007,40109107302,66,4,32
40027202007,40109101900,38,14,15
40027202007,40109107305,19,15,12
40027202007,40017300100,0,1,0
40027202007,40109108008,6,6,2
40027202007,40027201801,101,14,44
40027202007,40087400202,0,8,0
40027202007,40083600200,0,0,0
40027202007,40027201507,35,30,9
40027202007,40051001000,0,0,0
40027202007,40027200800,80,28,24
40027202007,40017301006,4,4,2
40027202007,40017301202,2,5,1
40027202007,40109107801,19,2,9
40027202007,40109104500,22,4,10
40027202007,40017300700,0,10,0
40027202007,40109109004,0,1,0
40027202007,40109108216,1,3,0
40027202007,40109103200,51,19,21
40027202007,40109108529,2,3,1
40027202007,40109108528,2,6,1
40027202007,40109108511,11,42,3
40027202007,40109102400,13,4,6
40027202007,40109108506,2,2,1
40027202007,40017301407,2,4,1
40027202007,40109107101,121,66,50
40027202007,40109100500,145,71,58
40027202007,40109100400,10,2,5
40027202007,40109105903,6,6,3
40027202007,40109101300,9,2,4
40027202007,40027202403,1,2,0
40027202007,40027202600,0,1,0
40027202007,40109107810,11,2,5
40027202007,40109108005,1,2,0
40027202007,40109100200,32,10,13
40027202007,40109101800,8,2,4
40027202007,40109106707,3,2,1
40027202007,40081961600,0,0,0
40027202007,40027202301,198,17,112
40027202007,40109101100,10,3,4
40027202007,40109107805,7,1,3
40027202007,40027202302,0,1,0
40027202007,40109108114,1,2,0
40027202007,40109107306,39,21,30
40027202007,40083600600,0,0,0
40027202007,40109107212,124,23,52
40027202007,40087400101,0,9,0
40027202007,40109106607,6,4,2
40027202007,40027202008,695,8,431
40027202007,40109107808,16,6,7
40027202007,40109106706,2,1,1
40027202007,40109108218,1,3,0
40027202007,40109103300,92,40,36
40027202007,40109103601,245,127,113
40027202007,40027202500,1,9,0
40027202007,40109108007,9,8,3
40027202007,40087400201,0,1,0
40027202007,40087400400,0,0,0
40027202007,40109107223,67,9,29
40027202007,40109107303,445,66,283
40027202007,40017301300,10,15,3
40027202007,40081961700,0,0,0
40027202007,40027201203,16,15,5
40027202007,40083600800,0,1,0
40027202007,40083600700,0,0,0
40027202007,40109105300,106,58,67
40027202007,40109108213,1,4,0
40027202007,40109108514,5,4,2
40027202007,40109108525,1,0,0
40027202007,40109108709,0,2,0
40027202007,40109109003,0,2,0
40027202007,40051000700,0,0,0
40027202007,40051000800,0,0,0
40027202007,40051000400,0,0,0
40027202007,40109107403,167,67,104
40027202007,40109107500,35,18,16
40027202007,40109107703,9,9,4
40027202007,40051000901,0,0,0
40027202007,40017301009,2,2,1
40027202007,40081961400,0,0,0
40027202007,40081961300,0,0,0
40027202007,40051000902,0,2,0
40027202007,40109108310,2,3,1
40027202007,40109108601,134,135,68
40027202007,40109105100,88,84,45
40027202007,40017300801,1,4,0
40027202007,40109108804,0,1,0
40027202007,40109106914,10,3,4
40027202007,40109104400,12,1,6
40027202007,40109104700,16,3,8
40027202007,40109106000,5,7,2
40027202007,40051000903,0,3,0
40027202007,40109106910,4,2,2
40027202007,40109108519,11,28,3
40027202007,40109108504,4,6,1
